node_id,q,h0,h1,h2,h3,h4
500785,0.001,0.0,0.1,0.0,0.0,0.0
500786,0.001,0.0,0.1,0.0,0.0,0.0
500787,0.001,0.0,0.1,0.0,0.0,0.0
500794,0.001,0.0,0.1,0.0,0.0,0.0
500795,0.001,0.0,0.1,0.0,0.0,0.0
500972,0.001,0.0,0.1,0.0,0.0,0.0
500973,0.001,0.0,0.1,0.0,0.0,0.0
500974,0.001,0.0,0.1,0.0,0.0,0.0
500975,0.001,0.0,0.1,0.0,0.0,0.0
500976,0.001,0.0,0.1,0.0,0.0,0.0
500977,0.001,0.0,0.1,0.0,0.0,0.0
500978,0.001,0.0,0.1,0.0,0.0,0.0
500979,0.001,0.0,0.1,0.0,0.0,0.0
500980,0.001,0.0,0.1,0.0,0.0,0.0
500981,0.001,0.0,0.1,0.0,0.0,0.0
500982,0.001,0.0,0.1,0.0,0.0,0.0
500984,0.001,0.0,0.1,0.0,0.0,0.0
500985,0.001,0.0,0.1,0.0,0.0,0.0
500986,0.001,0.0,0.1,0.0,0.0,0.0
500987,0.001,0.0,0.1,0.0,0.0,0.0
500989,0.001,0.0,0.1,0.0,0.0,0.0
500990,0.001,0.0,0.1,0.0,0.0,0.0
500991,0.001,0.0,0.1,0.0,0.0,0.0
500992,0.001,0.0,0.1,0.0,0.0,0.0
500993,0.001,0.0,0.1,0.0,0.0,0.0
500994,0.001,0.0,0.1,0.0,0.0,0.0
500995,0.001,0.0,0.1,0.0,0.0,0.0
500996,0.001,0.0,0.1,0.0,0.0,0.0
500997,0.001,0.0,0.1,0.0,0.0,0.0
500998,0.001,0.0,0.1,0.0,0.0,0.0
500999,0.001,0.0,0.1,0.0,0.0,0.0
501000,0.001,0.0,0.1,0.0,0.0,0.0
501001,0.001,0.0,0.1,0.0,0.0,0.0
501002,0.001,0.0,0.1,0.0,0.0,0.0
501003,0.001,0.0,0.1,0.0,0.0,0.0
501004,0.001,0.0,0.1,0.0,0.0,0.0
501005,0.001,0.0,0.1,0.0,0.0,0.0
501123,0.001,0.0,0.1,0.0,0.0,0.0
501124,0.001,0.0,0.1,0.0,0.0,0.0
501125,0.001,0.0,0.1,0.0,0.0,0.0
501126,0.001,0.0,0.1,0.0,0.0,0.0
501127,0.001,0.0,0.1,0.0,0.0,0.0
501128,0.001,0.0,0.1,0.0,0.0,0.0
501129,0.001,0.0,0.1,0.0,0.0,0.0
501130,0.001,0.0,0.1,0.0,0.0,0.0
501131,0.001,0.0,0.1,0.0,0.0,0.0
501132,0.001,0.0,0.1,0.0,0.0,0.0
501262,0.001,0.0,0.1,0.0,0.0,0.0
501263,0.001,0.0,0.1,0.0,0.0,0.0
501264,0.001,0.0,0.1,0.0,0.0,0.0
501265,0.001,0.0,0.1,0.0,0.0,0.0
501266,0.001,0.0,0.1,0.0,0.0,0.0
501267,0.001,0.0,0.1,0.0,0.0,0.0
501268,0.001,0.0,0.1,0.0,0.0,0.0
501269,0.001,0.0,0.1,0.0,0.0,0.0
501270,0.001,0.0,0.1,0.0,0.0,0.0
